quote_id,topic_id,section_number,quote_text,attribution,active,sort_order
71,24,24,"acchedyo ’yam adahyo ’yam
akledyo ’sosya eva ca
nityah sarva-gatah sthanur
acalo ’yam sanatanah

""Sesungguhnya Dia tak dapat dilukai, dibakar dan juga tak dapat dikeringkan dan dibasahi; Dia kekal, meliputi segalanya, tak bergerak dan abadi selamanya. """,Bhagawadgita BAB II,1,71
72,24,25,"avyakto ’yam acintyo ’yam 
avikaryo ’yam ucyate 
tasmad evam viditvainam 
nanusocitum arhasi 

""Ia tak dapat diwujudkan dengan kata-kata, tak dapat dipikirkan dan dinyatakan, tak berubah-ubah; karena itu dengan mengetahui sebagaimana halnya, engkau tak perlu berduka. """,Bhagawadgita BAB II,1,72
73,24,26,"atha cainam nitya-jatam 
nityam va manyase mrtam 
tathapi tvam maha-baho 
nainam socitum arhasi 

""Atau seandainya pun engkau berpendapat bahwa Dia selalu lahir dan mati, walaupun demikian engkau hendaknya tak usah menyesal, wahai Arjuna. """,Bhagawadgita BAB II,1,73
74,24,27,"jatasya hi dhruvo mrityur 
dhruvam janma mrtasya ca
tasmad apariharye ’rthe
na tvam socitum arhasi

""Sesungguhnya setiap yang lahir, kematian adalah pasti, demikian pula yang mati kelahiran adalah pasti, dan itu tak terelakkan; karena itu tak ada alasan engkau merasa menyesal. """,Bhagawadgita BAB II,1,74
75,24,28,"avyaktadini bhutani 
vyakta-madhyani bharata
avyakta-nidhanany eva
tatra ka paridevana

""Mahluk-mahluk itu pada mulanya tidak kelihatan, dan terlahir pada saat pertengahan dan pada akhirnya lenyap dari wujudnya. Mengapa harus menyesalinya, wahai Arjuna. """,Bhagawadgita BAB II,1,75
76,24,29,"ascarya-vat pasyati kascid enam 
ascarya-vad vadati tathaiva canyah
ascarya-vac cainam anyah srnoti
srutvapy enam veda na caiva kascit

""Seseorang melihat kebesaran-Nya, yang lain mengatakan tentang keagungan-Nya, namun setelah mendengar-Nya, tak seorangpun memahami-Nya. """,Bhagawadgita BAB II,1,76
77,24,30,"dehi nityam avadhyo ’yam 
dehe sarvasya bharata 
tasmat sarvani bhutani 
na tvam socitum arhasi 
 
""Yang menghuni badan setiap mahluk, semuanya tak akan dapat dibunuh, wahai Bharata, oleh karena itu janganlah bersedih atas kematian mahluk apapun. """,Bhagawadgita BAB II,1,77
78,24,31,"sva-dharmam api caveksya 
na vikampitum arhasi 
dharmyad dhi yuddhac chreyo ’nyat
kshatriyasya na vidyate 
 
""Lagi pula bertempur menegakkan kebenaran dengan menyadari akan kewajiban masing-masing, Engkau tak boleh gentar; bagi ksatria tak ada kebagagiaan yang lebih besar daripada berperang menegakkan kebenaran. """,Bhagawadgita BAB II,1,78
79,24,32,"yadrcchaya copapannam 
svarga-dvaram apavrtam
sukhinah kshatriyah partha
labhante yuddham idrsam

""Berbahagialah pahlawan sejati yang mendapat kesempatan untuk bertempur dalam hal seperti ini, wahai Arjuna, karena bagi mereka pintu surga telah terbuka lebar. """,Bhagawadgita BAB II,1,79
80,24,33,"atha cet tvam imam dharmyam 
sangramam na karishyasi
tatah sva-dharmam kirtim ca
hitva papam avapsyasi

""Akhirnya bila Engkau tidak berperang, sebagaimana kewajiban, dengan meninggalkan kewajiban dan kehormatanmu, maka penderitaanlah yang akan engkau peroleh. """,Bhagawadgita BAB II,1,80
